scenario,variant,sep,side_pct,coll_pct,commit
head_on,CC-CBF (Full),17.05,87.5,0.0,16.6
head_on,No direction (THETA\_C=0),16.96,85.0,0.0,16.5
head_on,No stern-pass,16.95,87.5,0.0,16.6
head_on,No anticipation (GAMMA=0),10.33,80.0,5.0,14.9
head_on,C3BF (isotropic),29.87,60.0,0.0,20.2
head_on,No dir + No stern,16.86,85.0,0.0,16.5
head_on,No dir + No anticipation,9.9,80.0,0.0,14.9
head_on,No stern + No anticipation,10.23,80.0,5.0,14.9
crossing_give_way,CC-CBF (Full),15.03,80.0,0.0,21.5
crossing_give_way,No direction (THETA\_C=0),16.03,70.0,0.0,24.0
crossing_give_way,No stern-pass,14.54,87.5,0.0,20.5
crossing_give_way,No anticipation (GAMMA=0),12.09,87.5,15.0,20.8
crossing_give_way,C3BF (isotropic),30.26,35.0,0.0,26.3
crossing_give_way,No dir + No stern,15.45,72.5,0.0,21.7
crossing_give_way,No dir + No anticipation,12.48,87.5,5.0,21.1
crossing_give_way,No stern + No anticipation,12.0,87.5,15.0,20.8
overtaking,CC-CBF (Full),16.76,87.5,0.0,47.4
overtaking,No direction (THETA\_C=0),16.58,90.0,0.0,47.1
overtaking,No stern-pass,16.76,87.5,0.0,47.4
overtaking,No anticipation (GAMMA=0),14.72,87.5,0.0,46.3
overtaking,C3BF (isotropic),17.55,35.0,0.0,48.2
overtaking,No dir + No stern,16.58,90.0,0.0,47.1
overtaking,No dir + No anticipation,14.67,90.0,0.0,45.7
overtaking,No stern + No anticipation,14.72,87.5,0.0,46.3
