table,scenario,ctrl,lam,rcc,sep,side_pct,commit,coll_pct
A,head_on,C3BF,---,nan,29.87,60.0,20.18,0.0
A,head_on,CC-CBF,0.0,12.7,17.03,87.5,16.47,0.0
A,head_on,CC-CBF,0.3,15.11,17.07,87.5,16.56,0.0
A,head_on,CC-CBF,0.6,17.52,17.07,85.0,16.51,0.0
A,head_on,CC-CBF,0.9,20.05,17.16,85.0,16.44,0.0
A,crossing_give_way,C3BF,---,nan,30.26,35.0,26.33,0.0
A,crossing_give_way,CC-CBF,0.0,12.7,15.05,82.5,21.04,0.0
A,crossing_give_way,CC-CBF,0.3,15.69,15.03,80.0,21.07,0.0
A,crossing_give_way,CC-CBF,0.6,18.68,15.03,80.0,21.49,0.0
A,crossing_give_way,CC-CBF,0.9,21.66,15.15,80.0,21.28,0.0
A,overtaking,C3BF,---,nan,17.55,35.0,48.21,0.0
A,overtaking,CC-CBF,0.0,13.81,16.49,90.0,45.18,0.0
A,overtaking,CC-CBF,0.3,17.93,16.61,87.5,47.25,0.0
A,overtaking,CC-CBF,0.6,22.04,16.87,87.5,48.41,0.0
A,overtaking,CC-CBF,0.9,26.17,17.16,87.5,49.71,0.0
