controller,scenario,trial,seed,collision,min_separation,colreg_compliance,path_efficiency,avg_speed,path_length
CC-CBF,head_on,0,0,0,15.559,1.0,1.0147,2.8226,197.09
CC-CBF,head_on,1,1,0,16.551,1.0,1.0135,2.6632,197.34
CC-CBF,head_on,2,2,0,13.378,0.9393,1.0105,2.8611,197.92
CC-CBF,head_on,3,3,0,14.952,1.0,0.9818,2.6716,203.71
CC-CBF,head_on,4,4,0,13.039,0.9296,1.0034,2.6864,199.33
CC-CBF,head_on,5,5,0,13.041,1.0,0.9595,2.6672,208.44
CC-CBF,head_on,6,6,0,14.757,1.0,1.0225,2.6905,195.6
CC-CBF,head_on,7,7,0,15.846,1.0,1.0013,2.7974,199.74
CC-CBF,head_on,8,8,0,14.83,0.8592,1.0175,2.6598,196.56
CC-CBF,head_on,9,9,0,15.521,1.0,1.0256,2.6713,195.01
CC-CBF,head_on,10,10,0,12.992,0.9415,1.0035,2.8685,199.3
CC-CBF,head_on,11,11,0,15.956,1.0,1.0067,2.8039,198.66
CC-CBF,head_on,12,12,0,15.519,0.9855,1.0143,2.6735,197.17
CC-CBF,head_on,13,13,0,13.182,1.0,0.9383,2.6727,213.15
CC-CBF,head_on,14,14,0,14.481,1.0,0.9774,2.661,204.63
CC-CBF,head_on,15,15,0,13.068,0.9981,0.9449,2.6709,211.67
CC-CBF,head_on,16,16,0,17.157,1.0,1.0273,2.6634,194.69
CC-CBF,head_on,17,17,0,12.327,0.9831,0.9234,2.7055,216.58
CC-CBF,head_on,18,18,0,17.013,1.0,1.0207,2.6624,195.95
CC-CBF,head_on,19,19,0,17.5,1.0,1.0412,2.8176,192.09
CC-CBF,head_on,20,20,0,13.575,1.0,0.9645,2.6757,207.36
CC-CBF,head_on,21,21,0,13.239,1.0,0.9419,2.6575,212.33
CC-CBF,head_on,22,22,0,15.205,0.9971,1.0123,2.7825,197.57
CC-CBF,head_on,23,23,0,14.901,1.0,0.995,2.8033,201.0
CC-CBF,head_on,24,24,0,11.16,0.971,0.9039,2.7901,221.26
CC-CBF,head_on,25,25,0,16.282,1.0,1.0248,2.6644,195.17
CC-CBF,head_on,26,26,0,15.531,1.0,1.0338,2.7916,193.46
CC-CBF,head_on,27,27,0,15.51,1.0,1.0366,2.8229,192.94
CC-CBF,head_on,28,28,0,13.662,0.945,1.0093,2.8696,198.15
CC-CBF,head_on,29,29,0,15.498,1.0,0.9985,2.6761,200.3
CC-CBF,head_on,30,30,0,12.57,0.9888,0.9312,2.6646,214.77
CC-CBF,head_on,31,31,0,13.344,1.0,0.9526,2.7004,209.96
CC-CBF,head_on,32,32,0,17.077,1.0,1.0289,2.9107,194.38
CC-CBF,head_on,33,33,0,15.719,1.0,1.0095,2.8611,198.13
CC-CBF,head_on,34,34,0,14.968,1.0,1.016,2.6765,196.85
CC-CBF,head_on,35,35,0,14.68,1.0,0.9863,2.7816,202.79
CC-CBF,head_on,36,36,0,16.647,1.0,1.0192,2.6535,196.23
CC-CBF,head_on,37,37,0,12.934,1.0,0.9473,2.6726,211.13
CC-CBF,head_on,38,38,0,13.833,1.0,0.9734,2.7877,205.46
CC-CBF,head_on,39,39,0,16.583,1.0,1.0174,2.6674,196.59
CC-CBF,head_on,40,40,0,16.154,1.0,1.031,2.6648,194.0
CC-CBF,head_on,41,41,0,16.472,1.0,1.0118,2.8378,197.66
CC-CBF,head_on,42,42,0,13.986,1.0,0.9701,2.6672,206.17
CC-CBF,head_on,43,43,0,15.28,1.0,0.9913,2.775,201.75
CC-CBF,head_on,44,44,0,13.149,0.9948,0.9442,2.6677,211.82
CC-CBF,head_on,45,45,0,13.425,0.9947,0.9424,2.6577,212.22
CC-CBF,head_on,46,46,0,14.334,1.0,0.9827,2.6761,203.52
CC-CBF,head_on,47,47,0,16.69,1.0,1.0213,2.6572,195.84
CC-CBF,head_on,48,48,0,11.549,0.9722,0.9037,2.6649,221.32
CC-CBF,head_on,49,49,0,13.763,1.0,0.9555,2.6732,209.31
C3BF,head_on,0,0,0,26.88,0.8452,0.9627,2.7444,207.76
C3BF,head_on,1,1,0,27.06,1.0,0.9605,2.7218,208.22
C3BF,head_on,2,2,0,30.713,0.6343,0.9761,2.8183,204.9
C3BF,head_on,3,3,0,26.999,0.0856,0.9442,2.828,211.82
C3BF,head_on,4,4,0,30.525,0.6313,0.9752,2.7978,205.09
C3BF,head_on,5,5,0,27.0,0.4108,0.9653,2.7261,207.18
C3BF,head_on,6,6,0,31.339,0.6405,0.9897,2.7531,202.08
C3BF,head_on,7,7,0,25.558,0.8221,0.9537,2.7128,209.7
C3BF,head_on,8,8,0,29.657,0.2486,0.9827,2.7428,203.52
C3BF,head_on,9,9,0,32.518,0.6524,0.9911,2.7815,201.8
C3BF,head_on,10,10,0,28.853,0.5263,0.9784,2.7383,204.42
C3BF,head_on,11,11,0,26.276,0.8377,0.9562,2.7376,209.16
