table,scenario,noise_deg,ccbf_side,c3bf_side,delta,ccbf_sep,c3bf_sep,ccbf_coll,c3bf_coll
B,head_on,5,95.0,55.0,40.0,15.45,27.16,0.0,0.0
B,head_on,10,87.5,60.0,27.5,17.05,29.87,0.0,0.0
B,head_on,15,70.0,55.0,15.0,20.7,32.95,0.0,0.0
B,head_on,20,67.5,50.0,17.5,25.36,36.41,0.0,0.0
B,head_on,25,67.5,52.5,15.0,29.47,39.9,0.0,0.0
B,crossing_give_way,5,80.0,45.0,35.0,14.43,31.07,0.0,0.0
B,crossing_give_way,10,80.0,35.0,45.0,15.03,30.26,0.0,0.0
B,crossing_give_way,15,70.0,40.0,30.0,16.49,33.42,0.0,0.0
B,crossing_give_way,20,77.5,42.5,35.0,18.47,36.53,2.5,0.0
B,crossing_give_way,25,67.5,40.0,27.5,22.19,38.03,0.0,0.0
B,overtaking,5,87.5,37.5,50.0,15.16,16.5,0.0,0.0
B,overtaking,10,87.5,35.0,52.5,16.76,17.55,0.0,0.0
B,overtaking,15,87.5,37.5,50.0,17.33,18.22,0.0,0.0
B,overtaking,20,85.0,35.0,50.0,17.71,18.71,0.0,0.0
B,overtaking,25,85.0,35.0,50.0,17.85,19.0,0.0,0.0
