scenario,controller,lambda,mean_min_sep,mean_R_CC,mean_clearance,side_pass_pct,early_commit_pct,mean_commit_time,mean_compliance,collision_pct
head_on,CC-CBF0,—,14.31,12.7,1.62,90.0,100.0,16.44,0.996,0.0
head_on,C3BF,—,27.67,nan,nan,35.0,100.0,19.63,0.536,0.0
head_on,CC-CBF,0.0,14.57,12.7,1.87,90.0,100.0,16.47,0.996,0.0
head_on,CC-CBF,0.1,14.8,13.48,1.32,90.0,100.0,16.29,0.987,0.0
head_on,CC-CBF,0.2,14.71,14.21,0.5,90.0,100.0,16.43,0.992,0.0
head_on,CC-CBF,0.3,14.73,14.97,-0.24,90.0,100.0,16.57,0.992,0.0
head_on,CC-CBF,0.4,14.8,15.84,-1.03,90.0,100.0,16.42,0.986,0.0
head_on,CC-CBF,0.5,14.73,16.58,-1.85,90.0,100.0,16.35,0.99,0.0
head_on,CC-CBF,0.6,14.87,17.41,-2.54,90.0,100.0,16.38,0.984,0.0
head_on,CC-CBF,0.7,14.71,17.99,-3.28,90.0,100.0,16.47,0.987,0.0
head_on,CC-CBF,0.8,14.6,18.69,-4.09,95.0,100.0,16.49,0.991,0.0
head_on,CC-CBF,0.9,14.84,19.76,-4.92,90.0,100.0,16.47,0.982,0.0
crossing_give_way,CC-CBF0,—,12.25,12.7,-0.45,100.0,100.0,20.88,0.964,0.0
crossing_give_way,C3BF,—,21.3,nan,nan,30.0,100.0,28.46,0.407,0.0
crossing_give_way,CC-CBF,0.0,12.85,12.7,0.16,95.0,100.0,20.36,0.965,0.0
crossing_give_way,CC-CBF,0.1,12.88,13.91,-1.04,95.0,100.0,20.37,0.962,0.0
crossing_give_way,CC-CBF,0.2,12.88,15.13,-2.25,95.0,100.0,20.38,0.96,0.0
crossing_give_way,CC-CBF,0.3,12.85,16.36,-3.51,90.0,100.0,20.24,0.955,0.0
crossing_give_way,CC-CBF,0.4,12.82,17.59,-4.77,90.0,100.0,20.25,0.951,0.0
crossing_give_way,CC-CBF,0.5,12.67,18.8,-6.13,90.0,100.0,20.31,0.947,0.0
crossing_give_way,CC-CBF,0.6,12.71,20.02,-7.31,100.0,100.0,20.48,0.945,0.0
crossing_give_way,CC-CBF,0.7,12.79,21.23,-8.43,100.0,100.0,20.45,0.942,0.0
crossing_give_way,CC-CBF,0.8,12.62,22.49,-9.87,100.0,100.0,20.35,0.936,0.0
crossing_give_way,CC-CBF,0.9,12.7,23.71,-11.01,95.0,100.0,20.3,0.932,0.0
overtaking,CC-CBF0,—,15.72,13.81,1.91,100.0,100.0,53.69,0.999,0.0
overtaking,C3BF,—,15.48,nan,nan,35.0,100.0,52.28,0.293,0.0
overtaking,CC-CBF,0.0,15.76,13.81,1.95,100.0,100.0,53.93,0.999,0.0
overtaking,CC-CBF,0.1,15.76,15.19,0.57,100.0,100.0,54.12,0.999,0.0
overtaking,CC-CBF,0.2,15.87,16.57,-0.7,100.0,100.0,53.94,0.999,0.0
overtaking,CC-CBF,0.3,15.91,17.95,-2.04,100.0,100.0,55.4,0.999,0.0
overtaking,CC-CBF,0.4,15.88,19.33,-3.45,100.0,100.0,55.44,0.999,0.0
overtaking,CC-CBF,0.5,15.93,20.71,-4.79,100.0,100.0,55.43,0.999,0.0
overtaking,CC-CBF,0.6,15.92,22.09,-6.17,100.0,100.0,55.61,0.999,0.0
overtaking,CC-CBF,0.7,15.94,23.48,-7.53,100.0,100.0,55.75,0.999,0.0
overtaking,CC-CBF,0.8,16.02,24.86,-8.83,100.0,100.0,55.85,0.999,0.0
overtaking,CC-CBF,0.9,16.04,26.24,-10.2,100.0,100.0,56.29,0.999,0.0
